"","Group","Citation","Count","Tool_Type","Material_Type","Usage","Temperature","Therm_vs.Other"
"382","Innu","Speck,_Frank_G._(Frank_Gouldsmith)._1935._Naskapi,_the_Savage_Hunters_of_the_Labrador_Peninsula._InThe_Civilization_of_the_American_Indian,_248,_19_plates._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures.yale.edu/document?id=nh06_002.",1,"needle","unknown","Medical",-21.29999924,"Alternative"
"383","Innu","Lips,_Julius._1947._Naskapi_Law:_Law_and_Order_in_a_Hunting_Society.Transactions_of_the_American_Philosophical_Society,_n.s.Vol._37:_379_492._https://ehrafworldcultures.yale.edu/document?id=nh06_008.",1,"needle","unknown","Beadwork",-21.29999924,"Alternative"
"385","Innu","Henriksen,_Georg._1973._Hunters_in_the_Barrens:_The_Naskapi_on_the_Edge_of_the_White_Mans_World._InNewfoundland_Social_and_Economic_Studies,_11,_130._St._JohnS:_Memorial_University_of_Newfoundland._https://ehrafworldcultures.yale.edu/document?id=nh06_019.",1,"needle","unknown","Medical",-21.29999924,"Alternative"
"386","Innu","McGee,_John_T._1961._Cultural_Stability_and_Change_among_the_Montagnais_Indians_of_the_Lake_Melville_Region_of_Labrador._InAnthropological_Series,_8,_159_,_7_plates._Washington,_D.C.:_Catholic_University_of_America_Press._https://ehrafworldcultures.yale.edu/document?id=nh06_026.",1,"needle","unknown","Fishing",-21.29999924,"Alternative"
"387","Kaska","Honigmann,_John_Joseph._1954._The_Kaska_Indians:_An_Ethnographic_Reconstruction._InYale_University_Publications_in_Anthropology,_162._New_Haven,_Conn.:_Yale_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd12_006.",1,"needle","unknown","Tattooing",-24.89999962,"Alternative"
"388","Kaska","Honigmann,_John_Joseph,_and_Wendell_Clark_Bennett._1949._Culture_and_Ethos_of_Kaska_Society._InYale_University_Publications_in_Anthropology,_366,_12_plates._New_Haven,_Conn.:_Yale_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd12_001.",1,"needle","metal","Clothing",-24.89999962,"Thermoregulation"
"389","Kaska","Teit,_James_Alexander,_and_June_Helm._1956._Field_Notes_on_the_Tahltan_and_Kaska_Indians:_1912_15.Anthropologica,_no._No._3:_39_171._https://ehrafworldcultures.yale.edu/document?id=nd12_005.",1,"needle","unknown","Piercing",-24.89999962,"Alternative"
"390","Ojibwa","Skinner,_Alanson_Buck._1911._Notes_on_the_Eastern_Cree_and_Northern_Saulteaux._InAnthropological_Papers_of_the_American_Museum_of_Natural_History,_9:1_177_incomplete_._New_York:_The_Trustees._https://ehrafworldcultures.yale.edu/document?id=ng06_003.",1,"needle","unknown","Tattooing",-21.39999962,"Alternative"
"393","Ojibwa","Skinner,_Alanson_Buck._1911._Notes_on_the_Eastern_Cree_and_Northern_Saulteaux._InAnthropological_Papers_of_the_American_Museum_of_Natural_History,_9:1_177_incomplete_._New_York:_The_Trustees._https://ehrafworldcultures.yale.edu/document?id=ng06_003.",1,"needle","wood","Snowshoes",-21.39999962,"Thermoregulation"
"394","Ojibwa","Skinner,_Alanson_Buck._1911._Notes_on_the_Eastern_Cree_and_Northern_Saulteaux._InAnthropological_Papers_of_the_American_Museum_of_Natural_History,_9:1_177_incomplete_._New_York:_The_Trustees._https://ehrafworldcultures.yale.edu/document?id=ng06_003.",1,"needle","unknown","Mythology",-21.39999962,"Alternative"
"395","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures.yale.edu/document?id=ng06_005.",1,"needle","unknown","Snowshoes",-21.39999962,"Thermoregulation"
"396","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures.yale.edu/document?id=ng06_005.",1,"needle","wood","Snowshoes",-21.39999962,"Thermoregulation"
"397","Ojibwa","S.,_Rogers._Edward._1962._The_Round_Lake_Ojibwa._InOccasional_Paper,_1v._(various_pagings)._Toronto_:_Published_by_the_Ontario_Dept._of_Lands_and_Forests_for_the_Royal_Ontario_Museum._https://ehrafworldcultures.yale.edu/document?id=ng06_061.",1,"needle","unknown","Snowshoes",-21.39999962,"Thermoregulation"
"398","Ojibwa","Kohl,_Johann_Georg,_and_Lascelles_Wraxall_Sir._1860.Kitchi_Gami:_Wanderings_Round_Lake_Superior._London:_Chapman_and_Hall._https://ehrafworldcultures.yale.edu/document?id=ng06_020.",1,"needle","unknown","Ceremony or Ritual",-21.39999962,"Alternative"
"399","Ojibwa","Kohl,_Johann_Georg,_and_Lascelles_Wraxall_Sir._1860.Kitchi_Gami:_Wanderings_Round_Lake_Superior._London:_Chapman_and_Hall._https://ehrafworldcultures.yale.edu/document?id=ng06_020.",1,"needle","unknown","Magic",-21.39999962,"Alternative"
"400","Ojibwa","Kohl,_Johann_Georg,_and_Lascelles_Wraxall_Sir._1860.Kitchi_Gami:_Wanderings_Round_Lake_Superior._London:_Chapman_and_Hall._https://ehrafworldcultures.yale.edu/document?id=ng06_020.",1,"needle","wood","Clothing",-21.39999962,"Thermoregulation"
"401","Ojibwa","Hilger,_M._Inez_(Mary_Inez)._1951._Chippewa_Child_Life_and_Its_Cultural_Background._InBulletin,_xiv,_204._Washington:_U.S._Govt._Print._Off._https://ehrafworldcultures.yale.edu/document?id=ng06_015.",1,"needle","unknown","Piercing",-21.39999962,"Alternative"
"402","Ojibwa","Hilger,_M._Inez_(Mary_Inez)._1951._Chippewa_Child_Life_and_Its_Cultural_Background._InBulletin,_xiv,_204._Washington:_U.S._Govt._Print._Off._https://ehrafworldcultures.yale.edu/document?id=ng06_015.",1,"needle","unknown","Tattooing",-21.39999962,"Alternative"
"403","Ojibwa","Landes,_Ruth._1937._Ojibwa_Sociology._InContributions_to_Anthropology,_29:144,_plates._New_York:_Columbia_University_Press._https://ehrafworldcultures.yale.edu/document?id=ng06_002.",1,"needle","unknown","Tattooing",-21.39999962,"Alternative"
"404","Ojibwa","Ritzenthaler,_Robert_Eugene._1953._Chippewa_Preoccupation_with_Health:_Change_in_a_Traditional_Attitude_Resulting_from_Modern_Health_Problems._InBulletin,_Vol._19:175_257._Milwaukee:_s.n._._https://ehrafworldcultures.yale.edu/document?id=ng06_013.",1,"needle","unknown","Tattooing",-21.39999962,"Alternative"
"405","Ojibwa","White,_Bruce_M._1987._A_Skilled_Game_of_Exchange:_Ojibway_Fur_Trade_Protocol.Minnesota_HistoryVol._50_(6):_229_40._https://ehrafworldcultures.yale.edu/document?id=ng06_044.",1,"needle","unknown","Trading",-21.39999962,"Alternative"
"407","Ojibwa","Peers,_Laura_L._(Laura_Lynn)._1994._The_Ojibwa_of_Western_Canada,_1780_to_1870._InManitoba_Studies_in_Native_History,_xviii,_288._St._Paul:_Minnesota_Historical_Society_Press._https://ehrafworldcultures.yale.edu/document?id=ng06_036.",1,"needle","metal","Trading",-21.39999962,"Alternative"
"408","Ojibwa","Hilger,_M._Inez_(Mary_Inez)._1939.A_Social_Study_of_One_Hundred_Fifty_Chippewa_Indian_Families_of_the_White_Earth_Reservation_of_Minnesota._Washington,_D.C.:_The_Catholic_University_of_America_Press._https://ehrafworldcultures.yale.edu/document?id=ng06_012.",1,"needle","metal","Clothing",-21.39999962,"Thermoregulation"
"409","Ojibwa","Hallowell,_A._Irving_(Alfred_Irving)._1955._Culture_and_Experience._InPublications,_4:xvi,_434._Philadelphia:_University_of_Pennsylvania._https://ehrafworldcultures.yale.edu/document?id=ng06_021.",1,"needle","unknown","Clothing",-21.39999962,"Thermoregulation"
"410","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd14_003.",1,"needle","unknown","Snowshoes",-29.39999962,"Thermoregulation"
"411","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd14_003.",1,"needle","unknown","Snowshoes",-29.39999962,"Thermoregulation"
"412","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd14_003.",1,"needle","unknown","Clothing",-29.39999962,"Thermoregulation"
"413","Slavey","Helm,_June._1961._The_Lynx_Point_People:_The_Dynamics_of_a_Northern_Athapaskan_Band._InBulletin_(National_Museum_of_Canada)?;_Bulletin_(National_Museum_of_Canada)._Anthropological_Series,_v,_193._Ottawa:_Dept._of_Northern_Affairs_and_National_Resources._https://ehrafworldcultures.yale.edu/document?id=nd14_002.",1,"needle","unknown","Clothing",-29.39999962,"Thermoregulation"
"414","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd14_003.",1,"needle","unknown","Snowshoes",-29.39999962,"Thermoregulation"
"415","Western Woods Cree","Mason,_Leonard._1967._The_Swampy_Cree:_A_Study_in_Acculturation._InAnthropology_Papers,_75._Ottawa:_Queens_Printer._https://ehrafworldcultures.yale.edu/document?id=ng08_001.",1,"needle","metal","Trading",-30.5,"Alternative"
"416","Western Woods Cree","Mason,_Leonard._1967._The_Swampy_Cree:_A_Study_in_Acculturation._InAnthropology_Papers,_75._Ottawa:_Queens_Printer._https://ehrafworldcultures.yale.edu/document?id=ng08_001.",1,"needle","wood","Fishing",-30.5,"Alternative"
"417","Western Woods Cree","Mason,_Leonard._1967._The_Swampy_Cree:_A_Study_in_Acculturation._InAnthropology_Papers,_75._Ottawa:_Queens_Printer._https://ehrafworldcultures.yale.edu/document?id=ng08_001.",1,"needle","unknown","Piercing",-30.5,"Alternative"
"418","Western Woods Cree","Mason,_Leonard._1967._The_Swampy_Cree:_A_Study_in_Acculturation._InAnthropology_Papers,_75._Ottawa:_Queens_Printer._https://ehrafworldcultures.yale.edu/document?id=ng08_001.",1,"needle","unknown","Tattooing",-30.5,"Alternative"
"421","Cherokee","Kilpatrick,_Jack_Frederick,_and_Anna_Gritts_Kilpatrick._1970._Notebook_of_a_Cherokee_Shaman._InSmithsonian_Contributions_to_Anthropology,_v._2:vi,_83_125._Washington:_Smithsonian_Institution_Press;_for_sale_by_the_Supt._of_Docs.,_U.S._Govt._Print._Off._._https://ehrafworldcultures.yale.edu/document?id=nn08_015.",1,"needle","unknown","Ceremony or Ritual",-5.300000191,"Alternative"
"422","Cherokee","Kilpatrick,_Jack_Frederick,_and_Anna_Gritts_Kilpatrick._1967.Run_toward_the_Nightland:_Magic_of_the_Oklahoma_Cherokees._Dallas:_Southern_Methodist_University_Press._https://ehrafworldcultures.yale.edu/document?id=nn08_011.",1,"needle","unknown","Ceremony or Ritual",-5.300000191,"Alternative"
"423","Cherokee","Chiltoskey,_Mary_Ulmer,_and_Cherokee_Indian_Fall_Festival_Assoc._1979.Cherokee_Fair_&_Festival:_A_History_Thru_1978._Cherokee?_N.C._:_The_Assoc._https://ehrafworldcultures.yale.edu/document?id=nn08_033.",1,"needle","metal","Jewlery ",-5.300000191,"Alternative"
"425","Cherokee","Goodwin,_Gary_C._1977._Cherokees_in_Transition:_A_Study_of_Changing_Culture_and_Environment_Prior_to_1775._InResearch_Paper,_x,_207._Chicago:_University_of_Chicago_Press._https://ehrafworldcultures.yale.edu/document?id=nn08_010.",1,"needle","metal","Wampum belt",-5.300000191,"Alternative"
"426","Cherokee","Goodwin,_Gary_C._1977._Cherokees_in_Transition:_A_Study_of_Changing_Culture_and_Environment_Prior_to_1775._InResearch_Paper,_x,_207._Chicago:_University_of_Chicago_Press._https://ehrafworldcultures.yale.edu/document?id=nn08_010.",1,"needle","metal","Clothing",-5.300000191,"Thermoregulation"
"428","Cherokee","Leftwich,_Rodney_L._1986.Arts_and_Crafts_of_the_Cherokee._Cherokee,_N.C.:_Cherokee_Publications._https://ehrafworldcultures.yale.edu/document?id=nn08_022.",1,"needle","bone","Clothing",-5.300000191,"Thermoregulation"
"429","Cherokee","Leftwich,_Rodney_L._1986.Arts_and_Crafts_of_the_Cherokee._Cherokee,_N.C.:_Cherokee_Publications._https://ehrafworldcultures.yale.edu/document?id=nn08_022.",1,"awl","bone","Clothing",-5.300000191,"Thermoregulation"
"431","Cherokee","French,_Laurence,_Jim_Hornbuckle,_Karen_French_Owl,_Herbert_Wachacha,_Yvonne_Wachacha,_Richard_Crowe,_Amy_Walker,_Reuben_Teesatuskie,_Elsie_Martin,_and_Patricia_Panther._1981._The_Cherokee_Perspective:_Written_by_Eastern_Cherokees._Boone,_North_Carolina:_Appalachian_Consortium_Press._https://ehrafworldcultures.yale.edu/document?id=nn08_031.",1,"needle","unknown","Beadwork",-5.300000191,"Alternative"
"432","Creek","Swanton,_John_Reed._1928._Social_Organization_and_Social_Usages_of_the_Indians_of_the_Creek_Confederacy._InAnnual_Report,_23_472._Washington,_Dc:_U.S._Govt._Print._Off._https://ehrafworldcultures.yale.edu/document?id=nn11_001.",1,"needle","unknown","Punishment ",0,"Alternative"
"433","Creek","Sattler,_Richard_A._2009._Culture_Summary:_Creek._New_Haven,_Conn.:_Human_Relations_Area_Files._https://ehrafworldcultures.yale.edu/document?id=nn11_000.",1,"needle","unknown","Punishment ",0,"Alternative"
"434","Creek","Walker,_Willard._2004._Creek_Confederacy_before_Removal._InHandbook_of_North_American_Indians._Southeast,_Vol._14:373_91._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G.P.O._https://ehrafworldcultures.yale.edu/document?id=nn11_004.",1,"needle","unknown","Punishment ",0,"Alternative"
"435","Creek","Swanton,_John_Reed._1928._Religious_Beliefs_and_Medicinal_Practices_of_the_Creek_Indians._InAnnual_Report,_473_672._Washington,_Dc:_U.S._Govt._Print._Off._https://ehrafworldcultures.yale.edu/document?id=nn11_002.",1,"needle","unknown","Punishment ",0,"Alternative"
"436","Creek","Swanton,_John_Reed._1928._Religious_Beliefs_and_Medicinal_Practices_of_the_Creek_Indians._InAnnual_Report,_473_672._Washington,_Dc:_U.S._Govt._Print._Off._https://ehrafworldcultures.yale.edu/document?id=nn11_002.",1,"needle","copper","Ceremony or Ritual",0,"Alternative"
"437","Creek","Innes,_Pamela_Joan._2004._Creek_in_the_West._InHandbook_of_North_American_Indians._Southeast,_Vol._14:393_403._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G.P.O._https://ehrafworldcultures.yale.edu/document?id=nn11_005.",1,"needle","metal","Clothing",0,"Thermoregulation"
"438","Fox","Smith,_Huron_H._(Huron_Herbert)._1928._Ethnobotany_of_the_Meskwaki_Indians._InBulletin,_177_326_,_37_46_plates._Milwaukee,_Wis.:_Pub._by_order_of_the_board_of_trustees_of_the_Public_Museum_of_the_City_of_Milwaukee._https://ehrafworldcultures.yale.edu/document?id=np05_005.",1,"needle","bone","Mats",-9.5,"Thermoregulation"
"439","Fox","Smith,_Huron_H._(Huron_Herbert)._1928._Ethnobotany_of_the_Meskwaki_Indians._InBulletin,_177_326_,_37_46_plates._Milwaukee,_Wis.:_Pub._by_order_of_the_board_of_trustees_of_the_Public_Museum_of_the_City_of_Milwaukee._https://ehrafworldcultures.yale.edu/document?id=np05_005.",1,"needle","bone","Shelter",-9.5,"Thermoregulation"
"440","Fox","Harlan,_Edgar_Rubey,_Melvin_R._(Melvin_Randolph)_Gilmore,_George_Young_Bear,_and_Jim_Poweshiek._1933_1935._An_Original_Study_of_Mesquakie_(Fox)_Life._InAnnals_of_Iowa,_Third_Series,_Vol._19:115_25,_221_34,_352_62._Des_Moines:_Historical,_Memorial_and_Art_Department_of_Iowa._https://ehrafworldcultures.yale.edu/document?id=np05_006.",1,"needle","unknown","Mats",-9.5,"Thermoregulation"
"442","Fox","Joffe,_Natalie_Frankel._1963._The_Fox_of_Iowa._InAcculturation_in_Seven_American_Indian_Tribes,_259_332._Gloucester,_Mass.:_Peter_Smith._https://ehrafworldcultures.yale.edu/document?id=np05_068.",1,"needle","unknown","Baskets",-9.5,"Alternative"
"443","Fox","Joffe,_Natalie_Frankel._1963._The_Fox_of_Iowa._InAcculturation_in_Seven_American_Indian_Tribes,_259_332._Gloucester,_Mass.:_Peter_Smith._https://ehrafworldcultures.yale.edu/document?id=np05_068.",1,"needle","unknown","Beadwork",-9.5,"Alternative"
"444","Fox","Edmunds,_R._David_(Russell_David),_and_Joseph_L._Peyser._1993._The_Fox_Wars:_The_Mesquakie_Challenge_to_New_France._InThe_Civilization_of_the_American_Indian_Series,_v._211:xix,_282._Norman,_Okla.:_University_of_Oklahoma_Press._https://ehrafworldcultures.yale.edu/document?id=np05_090.",1,"needle","metal","Trading",-9.5,"Alternative"
"446","Huron/Wendat","Speck,_Frank_G._(Frank_Gouldsmith)._1911._Notes_on_the_Material_Culture_of_the_Huron.American_AnthropologistVol._13_(2):_208_28._https://ehrafworldcultures.yale.edu/document?id=ng05_011.",1,"needle","unknown","Snowshoes",-12.80000019,"Thermoregulation"
"447","Huron/Wendat","Speck,_Frank_G._(Frank_Gouldsmith)._1911._Notes_on_the_Material_Culture_of_the_Huron.American_AnthropologistVol._13_(2):_208_28._https://ehrafworldcultures.yale.edu/document?id=ng05_011.",1,"needle","wood","Snowshoes",-12.80000019,"Thermoregulation"
"448","Huron/Wendat","Trigger,_Bruce_G._1976.The_Children_of_Aataentsic:_A_History_of_the_Huron_People_to_1660._Montreal_And_London:_McGill_Queens_University_Press._https://ehrafworldcultures.yale.edu/document?id=ng05_002.",1,"needle","unknown","Belief ",-12.80000019,"Alternative"
"449","Huron/Wendat","Tooker,_Elisabeth._1964._An_Ethnography_of_the_Huron_Indians,_1615_1649._InBulletin,_iv,_183._Washington,_D.C.:_U.S._Government_Printing_Office._https://ehrafworldcultures.yale.edu/document?id=ng05_001.",1,"needle","unknown","Tattooing",-12.80000019,"Alternative"
"450","Huron/Wendat","Kinietz,_W._Vernon_(William_Vernon)._1940._Huron._InThe_Indians_of_the_Western_Great_Lakes_1615_1760,_iv_v,_1_160,_330_38._Ann_Arbor:_University_of_Michigan_Press._https://ehrafworldcultures.yale.edu/document?id=ng05_005.",1,"needle","unknown","Tattooing",-12.80000019,"Alternative"
"451","Huron/Wendat","Morgan,_Lewis_Henry,_and_Herbert_M._Lloyd._1901.League_of_the_Ho_De_No_Sau_Nee_or_Iroquois._Vol._II._New_York:_Dodd,_Mead_and_Company._https://ehrafworldcultures.yale.edu/document?id=nm09_002.",1,"needle","wood","Burden Strap",-12.80000019,"Alternative"
"452","Huron/Wendat","Morgan,_Lewis_Henry,_and_Herbert_M._Lloyd._1901.League_of_the_Ho_De_No_Sau_Nee_or_Iroquois._Vol._II._New_York:_Dodd,_Mead_and_Company._https://ehrafworldcultures.yale.edu/document?id=nm09_002.",1,"needle","unknown","Clothing",-12.80000019,"Thermoregulation"
"453","Huron/Wendat","Morgan,_Lewis_Henry,_and_Herbert_M._Lloyd._1901.League_of_the_Ho_De_No_Sau_Nee_or_Iroquois._Vol._II._New_York:_Dodd,_Mead_and_Company._https://ehrafworldcultures.yale.edu/document?id=nm09_002.",1,"needle","unknown","Beadwork",-12.80000019,"Alternative"
"454","Huron/Wendat","Speck,_Frank_Gouldsmith._1945._The_Iroquois:_A_Study_in_Cultural_Evolution._InBulletin,_94._Detroit,_Mich.:_Cranbrook_Institute_of_Science._https://ehrafworldcultures.yale.edu/document?id=nm09_008.",1,"needle","metal","Decorated Birch Bark",-12.80000019,"Alternative"
"458","Huron/Wendat","Lyford,_Carrie_A._1945._Iroquois_Crafts._InPublications,_97._Lawrence,_Kan.:_Haskell_Institute._https://ehrafworldcultures.yale.edu/document?id=nm09_011.",1,"needle","wood","Fishing",-12.80000019,"Alternative"
"459","Huron/Wendat","Lyford,_Carrie_A._1945._Iroquois_Crafts._InPublications,_97._Lawrence,_Kan.:_Haskell_Institute._https://ehrafworldcultures.yale.edu/document?id=nm09_011.",1,"needle","wood","Snowshoes",-12.80000019,"Thermoregulation"
"460","Huron/Wendat","Lyford,_Carrie_A._1945._Iroquois_Crafts._InPublications,_97._Lawrence,_Kan.:_Haskell_Institute._https://ehrafworldcultures.yale.edu/document?id=nm09_011.",1,"needle","metal","Clothing",-12.80000019,"Thermoregulation"
"461","Huron/Wendat","Lyford,_Carrie_A._1945._Iroquois_Crafts._InPublications,_97._Lawrence,_Kan.:_Haskell_Institute._https://ehrafworldcultures.yale.edu/document?id=nm09_011.",1,"needle","metal","Clothing",-12.80000019,"Thermoregulation"
"464","Mi'kmaq","Johnson,_Frederick._1943._Notes_on_Micmac_Shamanism.Primitive_Man:_Quarterly_Bulletin_of_the_Catholic_Anthropological_ConferenceVol._16:_53_80._https://ehrafworldcultures.yale.edu/document?id=nj05_006.",1,"needle","unknown","Magic",-14.80000019,"Alternative"
"465","Mi'kmaq","Wallis,_Wilson_D._(Wilson_Dallam),_and_Ruth_Sawtell_Wallis._1955._The_Micmac_Indians_of_Eastern_Canada._In_._Minneapolis:_University_of_Minnesota_Press._https://ehrafworldcultures.yale.edu/document?id=nj05_001.",1,"needle","bone","Birch Bark Vessels",-14.80000019,"Alternative"
"466","Mi'kmaq","Wallis,_Wilson_D._(Wilson_Dallam),_and_Ruth_Sawtell_Wallis._1955._The_Micmac_Indians_of_Eastern_Canada._In_._Minneapolis:_University_of_Minnesota_Press._https://ehrafworldcultures.yale.edu/document?id=nj05_001.",1,"needle","unknown","Supernatural",-14.80000019,"Alternative"
"467","Mi'kmaq","Le_Clercq,_ca.,_Chrestien,_and_William_Francis_Ganong._1910._New_Relation_of_Gaspesia:_With_the_Customs_and_Religion_of_the_Gaspesian_Indians._InThe_Publications_of_the_Champlain_Society,_5:xvi,_452._Toronto:_The_Champlain_Society._https://ehrafworldcultures.yale.edu/document?id=nj05_002.",1,"needle","unknown","Boat Covering",-14.80000019,"Alternative"
"468","Mi'kmaq","Le_Clercq,_ca.,_Chrestien,_and_William_Francis_Ganong._1910._New_Relation_of_Gaspesia:_With_the_Customs_and_Religion_of_the_Gaspesian_Indians._InThe_Publications_of_the_Champlain_Society,_5:xvi,_452._Toronto:_The_Champlain_Society._https://ehrafworldcultures.yale.edu/document?id=nj05_002.",1,"needle","unknown","Snowshoes",-14.80000019,"Thermoregulation"
"469","Mi'kmaq","Denys,_Nicolas._1908._Description_and_Natural_History_of_the_Coasts_of_North_America_(Acadia)._InThe_Publications_of_the_Champlain_Society,_2:xvi,_625._Toronto:_The_Champlain_Society._https://ehrafworldcultures.yale.edu/document?id=nj05_003.",1,"needle","unknown","Wampum belt",-14.80000019,"Alternative"
"470","Mi'kmaq","Denys,_Nicolas._1908._Description_and_Natural_History_of_the_Coasts_of_North_America_(Acadia)._InThe_Publications_of_the_Champlain_Society,_2:xvi,_625._Toronto:_The_Champlain_Society._https://ehrafworldcultures.yale.edu/document?id=nj05_003.",1,"needle","unknown","Clothing",-14.80000019,"Thermoregulation"
"471","Natchez","Swanton,_John_Reed._1911._The_Natchez_Group._InIndian_Tribes_of_the_Lower_Mississippi_and_Adjacent_Coast_of_the_Gulf_of_Mexico,_v._43:45_274._Washington:_Govt._Printing_Office._https://ehrafworldcultures.yale.edu/document?id=no08_003.",1,"needle","unknown","Tattooing",2.400000095,"Alternative"
"472","Seminole","Howard,_James_H._(James_Henri),_and_Willie_Lena._1984._Oklahoma_Seminoles:_Medicines,_Magic,_and_Religion._InCivilization_of_the_American_Indian_Series,_166:xxii,_279_,_plates._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures.yale.edu/document?id=nn16_002.",1,"needle","unknown","Ceremony or Ritual",12.89999962,"Alternative"
"473","Seminole","Howard,_James_H._(James_Henri),_and_Willie_Lena._1984._Oklahoma_Seminoles:_Medicines,_Magic,_and_Religion._InCivilization_of_the_American_Indian_Series,_166:xxii,_279_,_plates._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures.yale.edu/document?id=nn16_002.",1,"needle","unknown","Scratching",12.89999962,"Alternative"
"474","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Ceremony or Ritual",12.89999962,"Alternative"
"475","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Medical",12.89999962,"Alternative"
"476","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Scratching",12.89999962,"Alternative"
"477","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Ceremony or Ritual",12.89999962,"Alternative"
"478","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Scratching",12.89999962,"Alternative"
"479","Seminole","Buswell_III,_James_Oliver._1989.Florida_Seminole_Religious_Ritual:_Resistance_and_Change._Ann_Arbor,_Michigan:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=nn16_028.",1,"needle","metal","Punishment ",12.89999962,"Alternative"
"480","Seminole","Glenn,_James_Lafayette,_and_Harry_A._Kersey._1982.My_Work_among_the_Florida_Seminoles._Orlando:_University_Presses_of_Florida._https://ehrafworldcultures.yale.edu/document?id=nn16_010.",1,"needle","unknown","Scratching",12.89999962,"Alternative"
"481","Seminole","Glenn,_James_Lafayette,_and_Harry_A._Kersey._1982.My_Work_among_the_Florida_Seminoles._Orlando:_University_Presses_of_Florida._https://ehrafworldcultures.yale.edu/document?id=nn16_010.",1,"needle","unknown","Punishment ",12.89999962,"Alternative"
"482","Seminole","Spoehr,_Alexander._1941._Camp,_Clan,_and_Kin_among_the_Cow_Creek_Seminole_of_Florida._InPublication?;_Anthropological_Series,_33:27._Chicago:_Field_Museum_of_Natural_History._https://ehrafworldcultures.yale.edu/document?id=nn16_004.",1,"needle","unknown","Scratching",12.89999962,"Alternative"
"483","Seminole","Spoehr,_Alexander._1941._Camp,_Clan,_and_Kin_among_the_Cow_Creek_Seminole_of_Florida._InPublication?;_Anthropological_Series,_33:27._Chicago:_Field_Museum_of_Natural_History._https://ehrafworldcultures.yale.edu/document?id=nn16_004.",1,"needle","unknown","Punishment ",12.89999962,"Alternative"
"484","Seminole","Spoehr,_Alexander._1942._Kinship_System_of_the_Seminole._InPublication?;_Anthropological_Series,_v._33:31_113._Chicago:_Field_Museum_of_Natural_History._https://ehrafworldcultures.yale.edu/document?id=nn16_005.",1,"needle","unknown","Scratching",12.89999962,"Alternative"
